# file	translator	distance-meassure	synset-tolerance	relation-tolerance	similarity-value	computation-time
sample06.txt	google	wu-palmer	0	0	0.315789	1.881
sample06.txt	yandex	wu-palmer	0	0	0.552632	1.597
sample06.txt	yandex	leacock-chodorow	0	0	0.921053	23.391
sample06.txt	google	leacock-chodorow	0	0	0.894737	24.402
sample06.txt	google	sussna	0	0	0.815789	77.747
sample06.txt	yandex	sussna	0	0	0.921053	89.528
sample06.txt	google	lin	0	0	0.815789	215.725
sample06.txt	yandex	lin	0	0	0.921053	295.658
sample06.txt	google	jiang-conrath	0	0	0.815789	299.047
sample06.txt	yandex	jiang-conrath	0	0	0.921053	382.532
sample06.txt	google	shortest_path	0	0	0.815789	527.584
sample06.txt	yandex	shortest_path	0	0	0.921053	529.276
sample06.txt	google	resnik	0	0	0.815789	542.664
sample06.txt	yandex	resnik	0	0	0.921053	545.24
sample06.txt	google	wu-palmer	0	0.1	0.236842	0.003
sample06.txt	yandex	wu-palmer	0	0.1	0.315789	0.016
sample06.txt	yandex	leacock-chodorow	0	0.1	0.921053	14.7
sample06.txt	google	sussna	0	0.1	0.815789	17.965
sample06.txt	yandex	sussna	0	0.1	0.921053	21.021
sample06.txt	google	leacock-chodorow	0	0.1	0.894737	27.477
sample06.txt	yandex	jiang-conrath	0	0.1	0.921053	379.927
sample06.txt	google	shortest_path	0	0.1	0.815789	410.338
sample06.txt	google	lin	0	0.1	0.815789	410.304
sample06.txt	yandex	lin	0	0.1	0.921053	446.516
sample06.txt	google	jiang-conrath	0	0.1	0.815789	469.726
sample06.txt	yandex	shortest_path	0	0.1	0.921053	504.654
sample06.txt	yandex	resnik	0	0.1	0.921053	535.76
sample06.txt	google	resnik	0	0.1	0.815789	555.876
sample06.txt	google	wu-palmer	0	0.2	0.236842	0.047
sample06.txt	yandex	wu-palmer	0	0.2	0.315789	0
sample06.txt	google	sussna	0	0.2	0.815789	19.269
sample06.txt	yandex	sussna	0	0.2	0.921053	20.128
sample06.txt	yandex	leacock-chodorow	0	0.2	0.921053	20.722
sample06.txt	google	leacock-chodorow	0	0.2	0.894737	21.206
sample06.txt	google	lin	0	0.2	0.815789	209.51
sample06.txt	google	jiang-conrath	0	0.2	0.815789	376.469
sample06.txt	yandex	lin	0	0.2	0.921053	386.178
sample06.txt	yandex	jiang-conrath	0	0.2	0.921053	397.448
sample06.txt	google	shortest_path	0	0.2	0.815789	474.713
sample06.txt	yandex	shortest_path	0	0.2	0.921053	525.694
sample06.txt	yandex	resnik	0	0.2	0.921053	538.572
sample06.txt	google	resnik	0	0.2	0.815789	563.407
sample06.txt	yandex	wu-palmer	0	0.3	0.315789	0.071
sample06.txt	google	wu-palmer	0	0.3	0.236842	0.084
sample06.txt	yandex	leacock-chodorow	0	0.3	0.921053	16.329
sample06.txt	google	sussna	0	0.3	0.815789	19.39
sample06.txt	google	leacock-chodorow	0	0.3	0.894737	24.187
sample06.txt	yandex	sussna	0	0.3	0.921053	26.793
sample06.txt	google	lin	0	0.3	0.815789	199.688
