# file	translator	distance-meassure	synset-tolerance	relation-tolerance	similarity-value	computation-time
sample03.txt	yandex	wu-palmer	0	0.5	0.709677	0.561
sample03.txt	google	jiang-conrath	0	0.5	0.612903	2.353
sample03.txt	google	lin	0	0.5	0.612903	3.002
sample03.txt	yandex	lin	0	0.5	0.709677	3.143
sample03.txt	yandex	jiang-conrath	0	0.5	0.709677	3.159
sample03.txt	google	resnik	0	0.5	0.612903	5.318
sample03.txt	google	shortest_path	0	0.5	0.612903	5.514
sample03.txt	yandex	resnik	0	0.5	0.709677	6.008
sample03.txt	yandex	shortest_path	0	0.5	0.709677	6.352
sample03.txt	google	sussna	0	0.6	0.612903	0.422
sample03.txt	google	leacock-chodorow	0	0.6	0.612903	0.422
sample03.txt	google	wu-palmer	0	0.6	0.612903	0.422
sample03.txt	yandex	sussna	0	0.6	0.709677	0.194
sample03.txt	yandex	wu-palmer	0	0.6	0.709677	0.38
sample03.txt	yandex	leacock-chodorow	0	0.6	0.709677	0.286
sample03.txt	google	lin	0	0.6	0.612903	1.611
sample03.txt	google	jiang-conrath	0	0.6	0.612903	1.97
sample03.txt	yandex	lin	0	0.6	0.709677	2.347
sample03.txt	yandex	jiang-conrath	0	0.6	0.709677	2.517
sample03.txt	google	resnik	0	0.6	0.612903	4.615
sample03.txt	google	shortest_path	0	0.6	0.612903	6.339
sample03.txt	yandex	resnik	0	0.6	0.709677	5.874
sample03.txt	yandex	shortest_path	0	0.6	0.709677	6.658
sample03.txt	google	leacock-chodorow	0	0.7	0.612903	0.264
sample03.txt	google	sussna	0	0.7	0.612903	0.266
sample03.txt	google	wu-palmer	0	0.7	0.612903	0.27
sample03.txt	yandex	sussna	0	0.7	0.709677	0.261
sample03.txt	yandex	leacock-chodorow	0	0.7	0.709677	0.27
sample03.txt	yandex	wu-palmer	0	0.7	0.709677	0.356
sample03.txt	google	lin	0	0.7	0.612903	1.671
sample03.txt	google	jiang-conrath	0	0.7	0.612903	4.27
sample03.txt	google	shortest_path	0	0.7	0.612903	4.702
sample03.txt	google	resnik	0	0.7	0.612903	5.167
sample03.txt	yandex	jiang-conrath	0	0.7	0.709677	5.113
sample03.txt	yandex	lin	0	0.7	0.709677	5.254
sample03.txt	yandex	shortest_path	0	0.7	0.709677	6.828
sample03.txt	yandex	resnik	0	0.7	0.709677	7.135
sample03.txt	google	wu-palmer	0	0.8	0.612903	0.246
sample03.txt	google	leacock-chodorow	0	0.8	0.612903	0.406
sample03.txt	google	sussna	0	0.8	0.612903	0.435
sample03.txt	yandex	sussna	0	0.8	0.709677	0.34
sample03.txt	yandex	leacock-chodorow	0	0.8	0.709677	0.247
sample03.txt	yandex	wu-palmer	0	0.8	0.709677	0.385
sample03.txt	google	lin	0	0.8	0.612903	1.708
sample03.txt	google	jiang-conrath	0	0.8	0.612903	3.495
sample03.txt	yandex	lin	0	0.8	0.709677	4.085
sample03.txt	yandex	jiang-conrath	0	0.8	0.709677	4.301
sample03.txt	google	shortest_path	0	0.8	0.612903	5.513
sample03.txt	google	resnik	0	0.8	0.612903	6.345
sample03.txt	yandex	resnik	0	0.8	0.709677	7.545
sample03.txt	yandex	shortest_path	0	0.8	0.709677	8.182
sample03.txt	google	leacock-chodorow	0	0.9	0.612903	0.133
sample03.txt	google	wu-palmer	0	0.9	0.612903	0.396
sample03.txt	google	sussna	0	0.9	0.612903	0.393
sample03.txt	yandex	leacock-chodorow	0	0.9	0.709677	0.168
sample03.txt	yandex	sussna	0	0.9	0.709677	0.291
sample03.txt	yandex	wu-palmer	0	0.9	0.709677	0.476
sample03.txt	google	lin	0	0.9	0.612903	1.582
sample03.txt	yandex	jiang-conrath	0	0.9	0.709677	2.956
sample03.txt	google	resnik	0	0.9	0.612903	4.198
sample03.txt	google	jiang-conrath	0	0.9	0.612903	4.221
sample03.txt	yandex	lin	0	0.9	0.709677	4.447
sample03.txt	google	shortest_path	0	0.9	0.612903	5.855
sample03.txt	yandex	resnik	0	0.9	0.709677	6.554
sample03.txt	yandex	shortest_path	0	0.9	0.709677	7.443
sample03.txt	google	leacock-chodorow	0.1	0	0.612903	0.133
sample03.txt	google	wu-palmer	0.1	0	0.612903	0.23
sample03.txt	google	sussna	0.1	0	0.612903	0.235
sample03.txt	yandex	sussna	0.1	0	0.709677	0.287
sample03.txt	yandex	leacock-chodorow	0.1	0	0.709677	0.287
sample03.txt	yandex	wu-palmer	0.1	0	0.709677	0.392
sample03.txt	google	lin	0.1	0	0.612903	1.678
sample03.txt	google	jiang-conrath	0.1	0	0.612903	2.668
sample03.txt	yandex	lin	0.1	0	0.709677	3.325
sample03.txt	yandex	jiang-conrath	0.1	0	0.709677	3.842
