# file	translator	distance-meassure	synset-tolerance	relation-tolerance	similarity-value	computation-time
sample07.txt	google	shortest_path	0	0	0.542857	0.172
sample07.txt	google	resnik	0	0	0.542857	0.078
sample07.txt	google	jiang-conrath	0	0	0.542857	0.063
sample07.txt	yandex	shortest_path	0	0	0.485714	0.156
sample07.txt	google	lin	0	0	0.542857	0.221
sample07.txt	yandex	jiang-conrath	0	0	0.485714	0.031
sample07.txt	yandex	wu-palmer	0	0	0.485714	0.187
sample07.txt	yandex	resnik	0	0	0.485714	0.093
sample07.txt	google	wu-palmer	0	0	0.542857	0.642
sample07.txt	yandex	lin	0	0	0.485714	0.08
sample07.txt	google	leacock-chodorow	0	0	0.542857	0.925
sample07.txt	yandex	leacock-chodorow	0	0	0.542857	0.455
sample07.txt	yandex	sussna	0	0	0.542857	10.763
sample07.txt	google	sussna	0	0	0.542857	11.177
sample07.txt	google	leacock-chodorow	0	0.1	0.542857	0.047
sample07.txt	google	sussna	0	0.1	0.542857	0.047
sample07.txt	google	wu-palmer	0	0.1	0.542857	0.047
sample07.txt	google	lin	0	0.1	0.542857	0.063
sample07.txt	google	jiang-conrath	0	0.1	0.542857	0.078
sample07.txt	yandex	leacock-chodorow	0	0.1	0.542857	0.062
sample07.txt	yandex	wu-palmer	0	0.1	0.485714	0.078
sample07.txt	yandex	sussna	0	0.1	0.485714	0.078
sample07.txt	google	resnik	0	0.1	0.542857	0.141
sample07.txt	yandex	shortest_path	0	0.1	0.485714	0.078
sample07.txt	google	shortest_path	0	0.1	0.542857	0.141
sample07.txt	yandex	resnik	0	0.1	0.485714	0.078
sample07.txt	yandex	jiang-conrath	0	0.1	0.485714	0.062
sample07.txt	yandex	lin	0	0.1	0.485714	0.047
sample07.txt	google	leacock-chodorow	0	0.2	0.542857	0.141
sample07.txt	yandex	shortest_path	0	0.2	0.485714	0.078
sample07.txt	yandex	sussna	0	0.2	0.485714	0.094
sample07.txt	yandex	jiang-conrath	0	0.2	0.485714	0.063
sample07.txt	google	sussna	0	0.2	0.542857	0.157
sample07.txt	google	resnik	0	0.2	0.542857	0.157
sample07.txt	google	wu-palmer	0	0.2	0.542857	0.157
sample07.txt	yandex	lin	0	0.2	0.485714	0.047
sample07.txt	yandex	resnik	0	0.2	0.485714	0.094
sample07.txt	yandex	wu-palmer	0	0.2	0.485714	0.094
sample07.txt	yandex	leacock-chodorow	0	0.2	0.542857	0.094
sample07.txt	google	jiang-conrath	0	0.2	0.542857	0.172
sample07.txt	google	shortest_path	0	0.2	0.542857	0.172
sample07.txt	google	lin	0	0.2	0.542857	0.172
sample07.txt	google	sussna	0	0.3	0.542857	0.095
sample07.txt	google	jiang-conrath	0	0.3	0.542857	0.142
sample07.txt	google	lin	0	0.3	0.542857	0.142
sample07.txt	yandex	shortest_path	0	0.3	0.485714	0.095
sample07.txt	yandex	resnik	0	0.3	0.485714	0.094
sample07.txt	yandex	lin	0	0.3	0.485714	0.062
sample07.txt	yandex	wu-palmer	0	0.3	0.485714	0.094
sample07.txt	google	wu-palmer	0	0.3	0.542857	0.157
sample07.txt	yandex	jiang-conrath	0	0.3	0.485714	0.093
sample07.txt	google	leacock-chodorow	0	0.3	0.542857	0.157
sample07.txt	google	shortest_path	0	0.3	0.542857	0.173
sample07.txt	yandex	leacock-chodorow	0	0.3	0.542857	0.11
sample07.txt	google	resnik	0	0.3	0.542857	0.173
sample07.txt	yandex	sussna	0	0.3	0.485714	0.11
sample07.txt	google	sussna	0	0.4	0.542857	0.047
sample07.txt	google	wu-palmer	0	0.4	0.542857	0.047
sample07.txt	google	lin	0	0.4	0.542857	0.047
sample07.txt	google	leacock-chodorow	0	0.4	0.542857	0.047
sample07.txt	google	jiang-conrath	0	0.4	0.542857	0.14
sample07.txt	yandex	sussna	0	0.4	0.485714	0.078
sample07.txt	google	resnik	0	0.4	0.542857	0.14
sample07.txt	yandex	shortest_path	0	0.4	0.485714	0.093
sample07.txt	google	shortest_path	0	0.4	0.542857	0.156
sample07.txt	yandex	jiang-conrath	0	0.4	0.485714	0.063
sample07.txt	yandex	leacock-chodorow	0	0.4	0.542857	0.094
sample07.txt	yandex	lin	0	0.4	0.485714	0.047
sample07.txt	yandex	wu-palmer	0	0.4	0.485714	0.094
sample07.txt	yandex	resnik	0	0.4	0.485714	0.094
sample07.txt	google	leacock-chodorow	0	0.5	0.542857	0.078
sample07.txt	google	resnik	0	0.5	0.542857	0.125
sample07.txt	google	jiang-conrath	0	0.5	0.542857	0.156
sample07.txt	yandex	lin	0	0.5	0.485714	0.047
sample07.txt	yandex	resnik	0	0.5	0.485714	0.078
sample07.txt	yandex	shortest_path	0	0.5	0.485714	0.094
sample07.txt	yandex	leacock-chodorow	0	0.5	0.542857	0.094
sample07.txt	google	sussna	0	0.5	0.542857	0.156
sample07.txt	yandex	jiang-conrath	0	0.5	0.485714	0.062
sample07.txt	google	wu-palmer	0	0.5	0.542857	0.171
sample07.txt	yandex	sussna	0	0.5	0.485714	0.109
sample07.txt	google	shortest_path	0	0.5	0.542857	0.171
sample07.txt	google	lin	0	0.5	0.542857	0.171
sample07.txt	yandex	wu-palmer	0	0.5	0.485714	0.109
sample07.txt	google	sussna	0	0.6	0.542857	0.047
sample07.txt	google	wu-palmer	0	0.6	0.542857	0.047
sample07.txt	google	leacock-chodorow	0	0.6	0.542857	0.047
sample07.txt	google	lin	0	0.6	0.542857	0.063
sample07.txt	google	jiang-conrath	0	0.6	0.542857	0.11
sample07.txt	google	shortest_path	0	0.6	0.542857	0.125
sample07.txt	google	resnik	0	0.6	0.542857	0.125
sample07.txt	yandex	shortest_path	0	0.6	0.485714	0.078
sample07.txt	yandex	sussna	0	0.6	0.485714	0.078
sample07.txt	yandex	wu-palmer	0	0.6	0.485714	0.078
sample07.txt	yandex	jiang-conrath	0	0.6	0.485714	0.063
sample07.txt	yandex	leacock-chodorow	0	0.6	0.542857	0.079
sample07.txt	yandex	lin	0	0.6	0.485714	0.032
sample07.txt	yandex	resnik	0	0.6	0.485714	0.079
sample07.txt	google	wu-palmer	0	0.7	0.542857	0.033
sample07.txt	google	jiang-conrath	0	0.7	0.542857	0.128
sample07.txt	google	shortest_path	0	0.7	0.542857	0.128
sample07.txt	google	resnik	0	0.7	0.542857	0.144
sample07.txt	yandex	sussna	0	0.7	0.485714	0.086
sample07.txt	yandex	leacock-chodorow	0	0.7	0.542857	0.06
sample07.txt	yandex	wu-palmer	0	0.7	0.485714	0.083
sample07.txt	google	lin	0	0.7	0.542857	0.159
sample07.txt	google	sussna	0	0.7	0.542857	0.159
sample07.txt	google	leacock-chodorow	0	0.7	0.542857	0.175
sample07.txt	yandex	lin	0	0.7	0.485714	0.079
sample07.txt	yandex	jiang-conrath	0	0.7	0.485714	0.083
sample07.txt	yandex	shortest_path	0	0.7	0.485714	0.144
sample07.txt	yandex	resnik	0	0.7	0.485714	0.103
sample07.txt	google	wu-palmer	0	0.8	0.542857	0.125
sample07.txt	google	sussna	0	0.8	0.542857	0.125
sample07.txt	google	lin	0	0.8	0.542857	0.125
sample07.txt	yandex	wu-palmer	0	0.8	0.485714	0.078
sample07.txt	google	shortest_path	0	0.8	0.542857	0.141
sample07.txt	yandex	shortest_path	0	0.8	0.485714	0.109
sample07.txt	yandex	leacock-chodorow	0	0.8	0.542857	0.093
sample07.txt	yandex	jiang-conrath	0	0.8	0.485714	0.062
sample07.txt	yandex	resnik	0	0.8	0.485714	0.093
sample07.txt	google	resnik	0	0.8	0.542857	0.156
sample07.txt	google	jiang-conrath	0	0.8	0.542857	0.156
sample07.txt	yandex	lin	0	0.8	0.485714	0.062
sample07.txt	yandex	sussna	0	0.8	0.485714	0.093
sample07.txt	google	leacock-chodorow	0	0.8	0.542857	0.156
sample07.txt	google	wu-palmer	0	0.9	0.542857	0.094
sample07.txt	google	jiang-conrath	0	0.9	0.542857	0.125
sample07.txt	google	leacock-chodorow	0	0.9	0.542857	0.141
sample07.txt	yandex	resnik	0	0.9	0.485714	0.064
sample07.txt	google	sussna	0	0.9	0.542857	0.142
sample07.txt	yandex	shortest_path	0	0.9	0.485714	0.079
sample07.txt	google	shortest_path	0	0.9	0.542857	0.145
sample07.txt	google	resnik	0	0.9	0.542857	0.131
sample07.txt	yandex	wu-palmer	0	0.9	0.485714	0.086
sample07.txt	google	lin	0	0.9	0.542857	0.134
sample07.txt	yandex	sussna	0	0.9	0.485714	0.088
sample07.txt	yandex	jiang-conrath	0	0.9	0.485714	0.042
sample07.txt	yandex	lin	0	0.9	0.485714	0.043
sample07.txt	yandex	leacock-chodorow	0	0.9	0.542857	0.076
sample07.txt	google	wu-palmer	0.1	0	0.542857	0.069
sample07.txt	yandex	sussna	0.1	0	0.485714	0
sample07.txt	google	leacock-chodorow	0.1	0	0.542857	0.169
sample07.txt	google	sussna	0.1	0	0.542857	0.169
sample07.txt	yandex	wu-palmer	0.1	0	0.485714	0
sample07.txt	google	resnik	0.1	0	0.542857	0.168
sample07.txt	yandex	leacock-chodorow	0.1	0	0.542857	0
sample07.txt	yandex	resnik	0.1	0	0.485714	0.188
sample07.txt	google	jiang-conrath	0.1	0	0.626584	1.215
sample07.txt	google	lin	0.1	0	0.626037	1.639
sample07.txt	yandex	lin	0.1	0	0.624866	1.439
sample07.txt	yandex	shortest_path	0.1	0	0.626316	1.763
sample07.txt	yandex	jiang-conrath	0.1	0	0.625712	1.916
sample07.txt	google	shortest_path	0.1	0	0.627068	2.295
sample07.txt	google	sussna	0.1	0.1	0.542857	0.047
sample07.txt	google	wu-palmer	0.1	0.1	0.542857	0.047
