# file	translator	distance-meassure	synset-tolerance	relation-tolerance	similarity-value	computation-time
sample05.txt	google	wu-palmer	0	0	0.8	0.551
sample05.txt	google	leacock-chodorow	0	0	0.8	1.059
sample05.txt	yandex	wu-palmer	0	0	1	0.713
sample05.txt	yandex	leacock-chodorow	0	0	1	1.234
sample05.txt	google	shortest_path	0	0	0.8	2.038
sample05.txt	google	lin	0	0	0.8	1.911
sample05.txt	google	jiang-conrath	0	0	0.8	1.988
sample05.txt	google	resnik	0	0	0.8	2.418
sample05.txt	yandex	lin	0	0	1	1.724
sample05.txt	yandex	jiang-conrath	0	0	1	1.866
sample05.txt	yandex	shortest_path	0	0	1	2.747
sample05.txt	yandex	resnik	0	0	1	2.497
sample05.txt	google	sussna	0	0	0.8	7.07
sample05.txt	yandex	sussna	0	0	1	7.693
sample05.txt	google	leacock-chodorow	0	0.1	0.8	0.081
sample05.txt	google	sussna	0	0.1	0.8	0.114
sample05.txt	google	wu-palmer	0	0.1	0.8	0.115
sample05.txt	yandex	wu-palmer	0	0.1	1	0.247
sample05.txt	yandex	sussna	0	0.1	1	0.265
sample05.txt	yandex	leacock-chodorow	0	0.1	1	0.212
sample05.txt	google	jiang-conrath	0	0.1	0.8	0.744
sample05.txt	google	resnik	0	0.1	0.8	1.075
sample05.txt	google	shortest_path	0	0.1	0.8	1.264
sample05.txt	yandex	lin	0	0.1	1	1.082
sample05.txt	yandex	jiang-conrath	0	0.1	1	1.235
sample05.txt	google	lin	0	0.1	0.8	1.482
sample05.txt	yandex	shortest_path	0	0.1	1	1.861
sample05.txt	yandex	resnik	0	0.1	1	1.769
sample05.txt	google	leacock-chodorow	0	0.2	0.8	0.124
sample05.txt	google	sussna	0	0.2	0.8	0.126
sample05.txt	google	wu-palmer	0	0.2	0.8	0.127
sample05.txt	yandex	leacock-chodorow	0	0.2	1	0.189
sample05.txt	yandex	sussna	0	0.2	1	0.258
sample05.txt	yandex	wu-palmer	0	0.2	1	0.239
sample05.txt	google	jiang-conrath	0	0.2	0.8	0.805
sample05.txt	google	resnik	0	0.2	0.8	1.208
sample05.txt	google	lin	0	0.2	0.8	1.342
sample05.txt	google	shortest_path	0	0.2	0.8	1.508
sample05.txt	yandex	shortest_path	0	0.2	1	1.452
sample05.txt	yandex	lin	0	0.2	1	1.333
sample05.txt	yandex	jiang-conrath	0	0.2	1	1.479
sample05.txt	yandex	resnik	0	0.2	1	1.882
sample05.txt	google	leacock-chodorow	0	0.3	0.8	0.107
sample05.txt	google	wu-palmer	0	0.3	0.8	0.117
sample05.txt	google	sussna	0	0.3	0.8	0.118
sample05.txt	yandex	sussna	0	0.3	1	0.206
sample05.txt	yandex	wu-palmer	0	0.3	1	0.206
sample05.txt	yandex	leacock-chodorow	0	0.3	1	0.207
sample05.txt	google	lin	0	0.3	0.8	0.78
sample05.txt	google	jiang-conrath	0	0.3	0.8	0.827
sample05.txt	google	shortest_path	0	0.3	0.8	0.975
sample05.txt	google	resnik	0	0.3	0.8	1.208
sample05.txt	yandex	lin	0	0.3	1	0.817
sample05.txt	yandex	jiang-conrath	0	0.3	1	0.987
sample05.txt	yandex	shortest_path	0	0.3	1	1.631
sample05.txt	yandex	resnik	0	0.3	1	1.442
sample05.txt	google	wu-palmer	0	0.4	0.8	0.06
sample05.txt	google	sussna	0	0.4	0.8	0.061
sample05.txt	google	leacock-chodorow	0	0.4	0.8	0.058
sample05.txt	yandex	wu-palmer	0	0.4	1	0.27
sample05.txt	yandex	leacock-chodorow	0	0.4	1	0.271
sample05.txt	yandex	sussna	0	0.4	1	0.459
sample05.txt	google	resnik	0	0.4	0.8	0.86
sample05.txt	google	shortest_path	0	0.4	0.8	1.174
sample05.txt	google	jiang-conrath	0	0.4	0.8	1.185
sample05.txt	yandex	lin	0	0.4	1	1.254
sample05.txt	yandex	shortest_path	0	0.4	1	1.556
sample05.txt	google	lin	0	0.4	0.8	1.678
sample05.txt	yandex	jiang-conrath	0	0.4	1	1.699
sample05.txt	yandex	resnik	0	0.4	1	1.834
sample05.txt	google	sussna	0	0.5	0.8	0.06
sample05.txt	google	leacock-chodorow	0	0.5	0.8	0.076
sample05.txt	google	wu-palmer	0	0.5	0.8	0.125
sample05.txt	yandex	wu-palmer	0	0.5	1	0.212
sample05.txt	yandex	leacock-chodorow	0	0.5	1	0.205
sample05.txt	yandex	sussna	0	0.5	1	0.268
sample05.txt	google	lin	0	0.5	0.8	0.76
sample05.txt	google	jiang-conrath	0	0.5	0.8	1.04
sample05.txt	yandex	lin	0	0.5	1	1.143
sample05.txt	google	shortest_path	0	0.5	0.8	1.391
sample05.txt	google	resnik	0	0.5	0.8	1.534
sample05.txt	yandex	jiang-conrath	0	0.5	1	1.468
sample05.txt	yandex	shortest_path	0	0.5	1	1.978
sample05.txt	yandex	resnik	0	0.5	1	1.95
sample05.txt	google	leacock-chodorow	0	0.6	0.8	0.068
