# file	translator	distance-meassure	synset-tolerance	relation-tolerance	similarity-value	computation-time
sample04.txt	google	jiang-conrath	0	0	1	0.328
sample04.txt	google	wu-palmer	0	0	1	0.686
sample04.txt	yandex	shortest_path	0	0	0.894737	0.39
sample04.txt	yandex	leacock-chodorow	0	0	0.894737	0.265
sample04.txt	google	resnik	0	0	1	0.593
sample04.txt	yandex	jiang-conrath	0	0	0.894737	0.188
sample04.txt	google	leacock-chodorow	0	0	1	0.702
sample04.txt	google	lin	0	0	1	0.515
sample04.txt	yandex	wu-palmer	0	0	0.894737	0.297
sample04.txt	yandex	resnik	0	0	0.894737	0.218
sample04.txt	yandex	lin	0	0	0.894737	0.187
sample04.txt	google	shortest_path	0	0	1	0.717
sample04.txt	yandex	sussna	0	0	0.894737	4.895
sample04.txt	google	sussna	0	0	1	5.426
sample04.txt	google	wu-palmer	0	0.1	1	0.234
sample04.txt	google	resnik	0	0.1	1	0.298
sample04.txt	google	leacock-chodorow	0	0.1	1	0.344
sample04.txt	yandex	sussna	0	0.1	0.894737	0.11
sample04.txt	yandex	leacock-chodorow	0	0.1	0.894737	0.109
sample04.txt	google	lin	0	0.1	1	0.313
sample04.txt	google	sussna	0	0.1	1	0.344
sample04.txt	google	shortest_path	0	0.1	1	0.344
sample04.txt	yandex	wu-palmer	0	0.1	0.894737	0.109
sample04.txt	google	jiang-conrath	0	0.1	1	0.313
sample04.txt	yandex	shortest_path	0	0.1	0.894737	0.172
sample04.txt	yandex	jiang-conrath	0	0.1	0.894737	0.172
sample04.txt	yandex	resnik	0	0.1	0.894737	0.187
sample04.txt	yandex	lin	0	0.1	0.894737	0.156
sample04.txt	google	leacock-chodorow	0	0.2	1	0.218
sample04.txt	yandex	sussna	0	0.2	0.894737	0.062
sample04.txt	google	wu-palmer	0	0.2	1	0.234
sample04.txt	google	sussna	0	0.2	1	0.234
sample04.txt	yandex	wu-palmer	0	0.2	0.894737	0.016
sample04.txt	google	shortest_path	0	0.2	1	0.234
sample04.txt	yandex	leacock-chodorow	0	0.2	0.894737	0.032
sample04.txt	google	jiang-conrath	0	0.2	1	0.297
sample04.txt	google	resnik	0	0.2	1	0.297
sample04.txt	google	lin	0	0.2	1	0.298
sample04.txt	yandex	shortest_path	0	0.2	0.894737	0.189
sample04.txt	yandex	resnik	0	0.2	0.894737	0.156
sample04.txt	yandex	jiang-conrath	0	0.2	0.894737	0.157
sample04.txt	yandex	lin	0	0.2	0.894737	0.141
sample04.txt	google	wu-palmer	0	0.3	1	0.063
sample04.txt	google	leacock-chodorow	0	0.3	1	0.063
sample04.txt	google	sussna	0	0.3	1	0.063
sample04.txt	yandex	sussna	0	0.3	0.894737	0
sample04.txt	yandex	wu-palmer	0	0.3	0.894737	0
sample04.txt	yandex	leacock-chodorow	0	0.3	0.894737	0
sample04.txt	google	lin	0	0.3	1	0.329
sample04.txt	google	jiang-conrath	0	0.3	1	0.329
sample04.txt	google	resnik	0	0.3	1	0.329
sample04.txt	yandex	shortest_path	0	0.3	0.894737	0.282
sample04.txt	google	shortest_path	0	0.3	1	0.376
sample04.txt	yandex	resnik	0	0.3	0.894737	0.141
sample04.txt	yandex	jiang-conrath	0	0.3	0.894737	0.142
sample04.txt	yandex	lin	0	0.3	0.894737	0.142
sample04.txt	google	leacock-chodorow	0	0.4	1	0.078
sample04.txt	google	sussna	0	0.4	1	0.078
sample04.txt	google	wu-palmer	0	0.4	1	0.078
sample04.txt	yandex	sussna	0	0.4	0.894737	0
sample04.txt	yandex	wu-palmer	0	0.4	0.894737	0
sample04.txt	yandex	leacock-chodorow	0	0.4	0.894737	0.016
sample04.txt	google	resnik	0	0.4	1	0.188
sample04.txt	google	jiang-conrath	0	0.4	1	0.258
sample04.txt	google	lin	0	0.4	1	0.274
sample04.txt	yandex	shortest_path	0	0.4	0.894737	0.197
sample04.txt	google	shortest_path	0	0.4	1	0.309
sample04.txt	yandex	resnik	0	0.4	0.894737	0.168
sample04.txt	yandex	jiang-conrath	0	0.4	0.894737	0.177
sample04.txt	yandex	lin	0	0.4	0.894737	0.133
sample04.txt	google	sussna	0	0.5	1	0.296
sample04.txt	google	leacock-chodorow	0	0.5	1	0.296
sample04.txt	yandex	sussna	0	0.5	0.894737	0.078
sample04.txt	google	jiang-conrath	0	0.5	1	0.281
sample04.txt	google	wu-palmer	0	0.5	1	0.312
sample04.txt	google	resnik	0	0.5	1	0.296
