# file	translator	distance-meassure	synset-tolerance	relation-tolerance	similarity-value	computation-time
sample02.txt	google	shortest_path	0	0	0.575758	0.48
sample02.txt	google	resnik	0	0	0.575758	0.618
sample02.txt	google	lin	0	0	0.575758	0.626
sample02.txt	google	jiang-conrath	0	0	0.575758	0.686
sample02.txt	google	wu-palmer	0	0	0.636364	1.204
sample02.txt	google	leacock-chodorow	0	0	0.575758	2.182
sample02.txt	google	sussna	0	0	0.575758	34.602
sample02.txt	yandex	leacock-chodorow	0	0	0.909091	887.505
sample02.txt	yandex	shortest_path	0	0	0.909091	1330.23
sample02.txt	yandex	resnik	0	0	0.909091	1337.56
sample02.txt	yandex	jiang-conrath	0	0	0.909091	1571.22
sample02.txt	yandex	lin	0	0	0.909091	1574.58
sample02.txt	yandex	sussna	0	0	0.909091	1598.54
sample02.txt	yandex	wu-palmer	0	0	0.909091	1649.28
sample02.txt	google	wu-palmer	0	0.9	0.575758	0.19
sample02.txt	google	leacock-chodorow	0	0.9	0.575758	0.229
sample02.txt	google	sussna	0	0.9	0.575758	0.219
sample02.txt	google	shortest_path	0	0.9	0.575758	0.323
sample02.txt	google	lin	0	0.9	0.575758	0.296
sample02.txt	google	jiang-conrath	0	0.9	0.575758	0.33
sample02.txt	google	resnik	0	0.9	0.575758	0.383
sample02.txt	yandex	sussna	0	0.9	0.909091	882.781
sample02.txt	yandex	resnik	0	0.9	0.909091	1305.47
sample02.txt	yandex	shortest_path	0	0.9	0.909091	1306.01
sample02.txt	yandex	lin	0	0.9	0.909091	1558.36
sample02.txt	yandex	jiang-conrath	0	0.9	0.909091	1559.37
sample02.txt	yandex	wu-palmer	0	0.9	0.909091	1566.88
sample02.txt	yandex	leacock-chodorow	0	0.9	0.909091	1593.53
sample02.txt	google	leacock-chodorow	0.1	0	0.575758	0.156
sample02.txt	google	wu-palmer	0.1	0	0.575758	0.265
sample02.txt	google	shortest_path	0.1	0	0.575758	0.374
sample02.txt	google	lin	0.1	0	0.575758	0.203
sample02.txt	google	jiang-conrath	0.1	0	0.575758	0.296
sample02.txt	google	resnik	0.1	0	0.575758	0.39
sample02.txt	google	sussna	0.1	0	0.575758	0.956
sample02.txt	yandex	lin	0.1	0	0.909091	851.532
sample02.txt	yandex	jiang-conrath	0.1	0	0.909091	1281.06
sample02.txt	yandex	wu-palmer	0.1	0	0.909091	1483.19
sample02.txt	yandex	resnik	0.1	0	0.909091	1539.51
sample02.txt	yandex	leacock-chodorow	0.1	0	0.909091	1635.67
sample02.txt	yandex	shortest_path	0.1	0	0.909091	1644.92
sample02.txt	yandex	sussna	0.1	0	0.909091	2859.63
sample02.txt	google	leacock-chodorow	0.1	0.9	0.575758	0.156
sample02.txt	google	wu-palmer	0.1	0.9	0.575758	0.249
sample02.txt	google	shortest_path	0.1	0.9	0.575758	0.296
sample02.txt	google	lin	0.1	0.9	0.575758	0.156
sample02.txt	google	sussna	0.1	0.9	0.575758	0.327
sample02.txt	google	jiang-conrath	0.1	0.9	0.575758	0.172
sample02.txt	google	resnik	0.1	0.9	0.575758	0.297
sample02.txt	yandex	lin	0.1	0.9	0.909091	882.578
sample02.txt	yandex	resnik	0.1	0.9	0.909091	950.878
sample02.txt	yandex	jiang-conrath	0.1	0.9	0.909091	1459.8
sample02.txt	yandex	wu-palmer	0.1	0.9	0.909091	1494.94
sample02.txt	yandex	shortest_path	0.1	0.9	0.909091	1642.03
sample02.txt	yandex	leacock-chodorow	0.1	0.9	0.909091	1659.26
sample02.txt	yandex	sussna	0.1	0.9	0.909091	2838.26
sample02.txt	google	wu-palmer	0.2	0	0.575758	0.228
sample02.txt	google	leacock-chodorow	0.2	0	0.575758	0.228
sample02.txt	google	jiang-conrath	0.2	0	0.575758	0.224
sample02.txt	google	shortest_path	0.2	0	0.575758	0.435
sample02.txt	google	resnik	0.2	0	0.575758	0.399
sample02.txt	google	lin	0.2	0	0.575758	0.331
sample02.txt	google	sussna	0.2	0	0.575758	2.215
sample02.txt	yandex	jiang-conrath	0.2	0	0.909091	1727.8
sample02.txt	yandex	wu-palmer	0.2	0	0.909091	1740.68
sample02.txt	yandex	leacock-chodorow	0.2	0	0.909091	1760.54
sample02.txt	yandex	resnik	0.2	0	0.909091	1777.93
sample02.txt	yandex	lin	0.2	0	0.909091	1794.65
sample02.txt	yandex	shortest_path	0.2	0	0.909091	2389.49
sample02.txt	yandex	sussna	0.2	0	0.909091	3157.44
sample02.txt	google	leacock-chodorow	0.2	0.9	0.575758	0.234
sample02.txt	google	wu-palmer	0.2	0.9	0.575758	0.234
sample02.txt	google	sussna	0.2	0.9	0.575758	0.234
sample02.txt	google	shortest_path	0.2	0.9	0.575758	0.32
sample02.txt	google	jiang-conrath	0.2	0.9	0.575758	0.366
sample02.txt	google	resnik	0.2	0.9	0.575758	0.413
sample02.txt	google	lin	0.2	0.9	0.575758	0.381
sample02.txt	yandex	resnik	0.2	0.9	0.909091	1777.32
sample02.txt	yandex	leacock-chodorow	0.2	0.9	0.909091	1805.35
sample02.txt	yandex	lin	0.2	0.9	0.909091	1830.51
sample02.txt	yandex	jiang-conrath	0.2	0.9	0.909091	1847.43
sample02.txt	yandex	wu-palmer	0.2	0.9	0.909091	1864.1
sample02.txt	yandex	sussna	0.2	0.9	0.909091	2370.76
sample02.txt	yandex	shortest_path	0.2	0.9	0.909091	3237.76
